hometeam	awayteam	homescore awayscore
Rangers		Falkirk 	1 	  1
Falkirk		Rangers 	0 	  2
Falkirk		Rangers 	0 	  5
Rangers		Falkirk 	3 	  1
Falkirk		Rangers 	0 	  1
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  2
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  5
Rangers		Falkirk 	1 	  0
Falkirk		Rangers 	0 	  0
Rangers		Falkirk 	2 	  1
Falkirk		Rangers 	2 	  4
Rangers		Falkirk 	1 	  0
Rangers		Falkirk 	3 	  1
Falkirk		Rangers 	0 	  3
Falkirk		Rangers 	3 	  1
Rangers		Falkirk 	2 	  0
Falkirk		Rangers 	0 	  3
Rangers		Falkirk 	2 	  1
Rangers		Falkirk 	2 	  0
Falkirk		Rangers 	0 	  1
Falkirk		Rangers 	0 	  1
Rangers		Falkirk 	5 	  0
Falkirk		Rangers 	3 	  2
Rangers		Falkirk 	3 	  0
Rangers		Falkirk 	6 	  1
Falkirk		Rangers 	0 	  5
Falkirk		Rangers 	0 	  1
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	0 	  2
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  7
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	5 	  5
Rangers		Falkirk 	3 	  0
Rangers		Falkirk 	3 	  2
Falkirk		Rangers 	0 	  4
Rangers		Falkirk 	1 	  1
Falkirk		Rangers 	0 	  2
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  2
Rangers		Falkirk 	4 	  1
Falkirk		Rangers 	0 	  3
Rangers		Falkirk 	3 	  0
Falkirk		Rangers 	4 	  3
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  2
Rangers		Falkirk 	5 	  2
Falkirk		Rangers 	1 	  1
Rangers		Falkirk 	3 	  0
Falkirk		Rangers 	0 	  2
Falkirk		Rangers 	2 	  2
Rangers		Falkirk 	4 	  3
Rangers		Falkirk 	1 	  1
Falkirk		Rangers 	1 	  5
Rangers		Falkirk 	2 	  1
Falkirk		Rangers 	0 	  5
Rangers		Falkirk 	2 	  1
Falkirk		Rangers 	2 	  2
Falkirk		Rangers 	0 	  1
Rangers		Falkirk 	0 	  0
Rangers		Falkirk 	3 	  0
Falkirk		Rangers 	0 	  2
Falkirk		Rangers 	0 	  3
Rangers		Falkirk 	1 	  0
Falkirk		Rangers 	1 	  3
Rangers		Falkirk 	3 	  1
Rangers		Falkirk 	5 	  1
Falkirk		Rangers 	1 	  4
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  2
Rangers		Falkirk 	1 	  0
Falkirk		Rangers 	1 	  3
Falkirk		Rangers 	2 	  1
Rangers		Falkirk 	4 	  0
Rangers		Falkirk 	1 	  1
Falkirk		Rangers 	1 	  4
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	1 	  2
Falkirk		Rangers 	3 	  3
Rangers		Falkirk 	2 	  1
Falkirk		Rangers 	1 	  1
Rangers		Falkirk 	2 	  3
Falkirk		Rangers 	1 	  1
Rangers		Falkirk 	3 	  1
Falkirk		Rangers 	0 	  1
Rangers		Falkirk 	2 	  2
Rangers		Falkirk 	2 	  0
Falkirk		Rangers 	2 	  0
Rangers		Falkirk 	0 	  0
Falkirk		Rangers 	1 	  0
Falkirk		Rangers 	0 	  2
Rangers		Falkirk 	2 	  0
Falkirk		Rangers 	0 	  3
Rangers		Falkirk 	3 	  1
Falkirk		Rangers 	0 	  4
Rangers		Falkirk 	1 	  0
Falkirk		Rangers 	2 	  0
Rangers		Falkirk 	4 	  1
Falkirk		Rangers 	0 	  2
Rangers		Falkirk 	3 	  1
Rangers		Falkirk 	1 	  0
Falkirk		Rangers 	2 	  0
Rangers		Falkirk 	3 	  0
Falkirk		Rangers 	1 	  3
Falkirk		Rangers 	4 	  1
Rangers		Falkirk 	3 	  2
Rangers		Falkirk 	2 	  1
Falkirk		Rangers 	2 	  0
Rangers		Falkirk 	4 	  0
Falkirk		Rangers 	0 	  2
Falkirk		Rangers 	2 	  2
Rangers		Falkirk 	1 	  1
Rangers		Falkirk 	0 	  1
Falkirk		Rangers 	3 	  1
Falkirk		Rangers 	1 	  0
Rangers		Falkirk 	4 	  1
Rangers		Falkirk 	2 	  2
Falkirk		Rangers 	4 	  4
Falkirk		Rangers 	2 	  1
Rangers		Falkirk 	2 	  2
Rangers		Falkirk 	3 	  1
Falkirk		Rangers 	1 	  6
Falkirk		Rangers 	3 	  2 
Rangers		Falkirk 	1 	  0 
Falkirk		Rangers 	2 	  1 
Rangers		Falkirk 	3 	  1 
Rangers		Falkirk 	2 	  2 
Falkirk		Rangers 	1 	  1 
Rangers		Falkirk 	4 	  0 
Falkirk		Rangers 	0 	  2 
Rangers		Falkirk 	4 	  1 
Falkirk		Rangers 	0 	  2 
Falkirk		Rangers 	0 	  1 
Rangers		Falkirk 	2 	  1
Falkirk		Rangers 	0 	  4 
Falkirk		Rangers 	1 	  3 
Rangers		Falkirk 	3 	  0 
Falkirk		Rangers 	3 	  2 
Rangers		Falkirk 	3 	  0
Falkirk		Rangers 	0 	  1 
Falkirk		Livingston 	1 	  0 
Livingston	Falkirk 	0 	  1 
Falkirk		Livingston 	1 	  1 
Livingston	Falkirk 	0 	  2 
Falkirk		Livingston 	1 	  2 
Livingston	Falkirk 	1 	  0 
Falkirk		Livingston 	0 	  0 
Livingston	Falkirk 	0 	  0 
Falkirk		Livingston 	1 	  3 
Livingston	Falkirk 	0 	  0 
Falkirk		Livingston 	0 	  2 
Falkirk		Livingston 	1 	  2 
Livingston	Falkirk 	1 	  1 
Falkirk		Livingston 	2 	  0 
Livingston	Falkirk 	1 	  2 
Livingston	Falkirk 	2 	  1 
Falkirk		Livingston 	2 	  0 
Livingston	Falkirk 	0 	  1 
Falkirk		Livingston 	0 	  0 
Falkirk		Livingston 	1 	  1 
Livingston	Falkirk 	0 	  1 
Falkirk		Livingston 	4 	  1 
Livingston	Falkirk 	0 	  3 
Livingston	Falkirk 	1 	  2 
Falkirk		Livingston 	2 	  0 
Livingston	Falkirk 	2 	  1 
Falkirk		Livingston 	1 	  2 
Falkirk		Livingston 	2 	  5 
Livingston	Falkirk 	1 	  2 
Falkirk		Livingston 	4 	  3 
Livingston	Falkirk 	1 	  1 
Livingston	Falkirk 	0 	  1 
Falkirk		Livingston 	3 	  4 
Falkirk		Livingston 	1 	  2 
